Semana,Cortes,Temp,Hum
2021-12-26,100,"29,48428571","38,29428571"
2022-01-02,34,"31,59857143","38,83857143"
2022-01-09,66,"26,63","48,72857143"
2022-01-16,35,"32,08285714","40,88857143"
2022-01-23,24,"27,45142857","71,94142857"
2022-01-30,31,"24,63285714","62,15857143"
2022-02-06,29,"24,20571429","61,12142857"
2022-02-13,22,"22,75285714","52,06"
2022-02-20,18,"26,42571429","50,58857143"
2022-02-27,21,"24,85857143","62,47428571"
2022-03-06,32,"22,98714286","74,73142857"
2022-03-13,19,"19,70142857","75,13142857"
2022-03-20,19,"19,41857143","69,27428571"
2022-03-27,21,"19,09142857","76,50857143"
2022-04-03,22,"15,55285714","58,77285714"
2022-04-10,18,"20,71428571","75,86"
2022-04-17,16,"15,47571429","69,87571429"
2022-04-24,14,"17,19714286","77,99714286"
2022-05-01,19,"13,88428571","71,46857143"
2022-05-08,16,"14,93","78,95142857"
2022-05-15,20,"12,94428571","76,10428571"
2022-05-22,16,"11,23142857","79,01"
2022-05-29,24,"10,08285714","77,76285714"
2022-06-05,17,"7,864285714","79,89714286"
2022-06-12,11,"8,898571429","75,45142857"
2022-06-19,22,"9,207142857","75,14857143"
2022-06-26,24,"7,93","81,20285714"
2022-07-03,18,"10,01571429","74,84714286"
2022-07-10,24,"10,22","77,30285714"
2022-07-17,38,"8,271428571","78,56571429"
2022-07-24,33,"14,00428571","84,18857143"
2022-07-31,27,"14,18142857","72,15428571"
2022-08-07,16,"11,06714286","78,71857143"
2022-08-14,12,"12,99857143","75,85428571"
2022-08-21,12,"9,332857143","61,52"
2022-08-28,19,"15,19142857","69,03714286"
2022-09-04,22,"13,60571429","62,81714286"
2022-09-11,18,"13,89428571","58,58714286"
2022-09-18,14,"16,78428571","63,87857143"
2022-09-25,16,"14,71428571","59,73857143"
2022-10-02,20,"17,64714286","55,60571429"
2022-10-09,18,"17,01571429","48,65142857"
2022-10-16,17,"16,31857143","53,32"
2022-10-23,17,"19,68428571","62,47428571"
2022-10-30,21,"21,23571429","51,14857143"
2022-11-06,21,"20,38857143","46,73285714"
2022-11-13,28,"22,19428571","56,09428571"
2022-11-20,17,"25,80428571","50,20285714"
2022-11-27,28,"27,55","41,37285714"
2022-12-04,60,"27,37428571","41,61142857"
2022-12-11,26,"30,34428571","42,88714286"
2022-12-18,12,"25,12142857","43,90857143"
2022-12-25,22,"26,46","43,02142857"
2023-01-01,23,"27,36714286","39,09142857"
2023-01-08,25,"28,99","30,42285714"
2023-01-15,38,"28,18714286","38,49142857"
2023-01-22,32,"30,7","44,58"
2023-01-29,26,"28,10571429","59,40714286"
2023-02-05,32,"26,63714286","54,73857143"
2023-02-12,44,"31,09","38,78428571"
2023-02-19,21,"20,82857143","48,36285714"
2023-02-26,29,"26,09142857","52,73714286"
2023-03-05,49,"30,48142857","47,06142857"
2023-03-12,51,"31,56428571","38,92142857"
2023-03-19,24,"29,72","58,59857143"
2023-03-26,21,"20,81285714","78,98"
2023-04-02,19,"19,92","67,77714286"
2023-04-09,17,"20,48857143","72,59"
2023-04-16,18,"17,62714286","66,3"
2023-04-23,17,"16,34428571","64,33285714"
2023-04-30,23,"19,44857143","67,52571429"
2023-05-07,17,"14,66857143","71,57285714"
2023-05-14,19,"16,29428571","69,86428571"
2023-05-21,24,"16,49571429","78,9"
2023-05-28,19,"15,45714286","82,85285714"
2023-06-04,26,"15,61857143","81,58714286"
2023-06-11,24,"13,60714286","74,31714286"
2023-06-18,16,"8,224285714","78,05142857"
2023-06-25,43,"12,66","88,21285714"
2023-07-02,29,"13,50857143","75,98"
2023-07-09,28,"14,75428571","80,42857143"
2023-07-16,19,"7,285714286","78,04571429"
2023-07-23,17,"11,55714286","75,62285714"
2023-07-30,20,"11,82","77,92571429"
2023-08-06,14,"15,19","69,67571429"
2023-08-13,19,"11,27857143","66,09857143"
2023-08-20,17,"14,51428571","71,04"
2023-08-27,20,"11,85285714","61,16428571"
2023-09-03,23,"13,98","64,72142857"
2023-09-10,23,"13,90142857","70,09857143"
2023-09-17,17,"15,32571429","55,17285714"
2023-09-24,21,"17,18","71,08571429"
2023-10-01,24,"15,54571429","58,74"
2023-10-08,19,"18,13142857","50,09714286"
2023-10-15,16,"17,77428571","52,15"
2023-10-22,18,"21,09428571","62,27428571"
2023-10-29,28,"20,29","70,39857143"
2023-11-05,24,"15,84428571","69,53"
2023-11-12,27,"21,33571429","60,75285714"
2023-11-19,20,"21,98428571","55,73857143"
2023-11-26,26,"24,48571429","55,73142857"
2023-12-03,26,"25,08571429","60,55714286"
2023-12-10,25,"23,01142857","63,01571429"
2023-12-17,37,"25,90285714","78,79142857"
2023-12-24,25,"23,48","69,74714286"
2023-12-31,28,"24,87285714","53,39428571"
2024-01-07,25,"26,76428571","62,24857143"
2024-01-14,28,"26,46428571","58,09285714"
2024-01-21,20,"23,95857143","64,92142857"
2024-01-28,51,"25,98857143","52,51857143"
2024-02-04,86,"31,57142857","41,55714286"
2024-02-11,21,"30,67142857","59,82714286"
2024-02-18,34,"22,99","65,58857143"
2024-02-25,26,"24,94285714","70,87571429"
2024-03-03,32,"24,48428571","70,92142857"
2024-03-10,49,"24,28571429","71,13142857"
2024-03-17,36,"24,41","86,37"
2024-03-24,23,"21,54285714","79,07571429"
2024-03-31,19,"21,21857143","74,76428571"
2024-04-07,34,"18,28428571","81,05714286"
2024-04-14,36,"18,38714286","83,62142857"
2024-04-21,19,"18,90857143","83,84714286"
2024-04-28,21,"15,79714286","76,40285714"
2024-05-05,25,"14,85714286","81,14285714"
2024-05-12,29,"11,90428571","77,70571429"
2024-05-19,23,"9,39","77,32428571"
2024-05-26,24,"8,781428571","80,99714286"
2024-06-02,23,"11,73714286","82,27"
2024-06-09,22,"16,04","85,77285714"
2024-06-16,18,"16,14714286","80,95714286"
2024-06-23,21,"13,11714286","83,07857143"
2024-06-30,26,"8,195714286","73,44857143"
2024-07-07,28,"6,08","70,21857143"
2024-07-14,30,"5,277142857","71,72"
2024-07-21,26,"11,68285714","84,22428571"
2024-07-28,29,"12,14857143","73,93857143"
2024-08-04,27,"14,41714286","77,82142857"
2024-08-11,19,"8,887142857","68,83428571"
2024-08-18,22,"12,39571429","73,62428571"
2024-08-25,22,"8,365714286","76,09571429"
2024-09-01,31,"11,23571429","78,68428571"
2024-09-08,20,"14,92714286","63,23714286"
2024-09-15,21,"15,64142857","63,66714286"
2024-09-22,19,"19,41285714","62,62"
2024-09-29,25,"19,47428571","60,11428571"
2024-10-06,22,"18,56142857","55,14142857"
2024-10-13,19,"19,62571429","68,12142857"
2024-10-20,25,"23,06714286","68,41714286"
2024-10-27,14,"20,89571429","67,41142857"
2024-11-03,30,"23,69","63,88285714"
2024-11-10,20,"21,77","57,27714286"
2024-11-17,21,"23,09571429","51,43857143"
2024-11-24,19,"24,27285714","59,67714286"
2024-12-01,25,"23,56571429","64,22142857"
2024-12-08,30,"21,29142857","52,89714286"
2024-12-15,17,"24,92","55,00285714"
2024-12-22,16,"23,80142857","56,88714286"
2024-12-29,22,"23,80285714","55,96571429"
2025-01-05,33,"27,37714286","41,00714286"
2025-01-12,50,"29,17285714","34,30142857"
2025-01-19,21,"28,90714286","46,39571429"
2025-01-26,19,"28,49571429","56,62857143"
2025-02-02,44,"28,3","53,28285714"
2025-02-09,26,"27,62857143","63,62428571"
2025-02-16,20,"24,28428571","71,90428571"
2025-02-23,19,"27,73571429","60,97571429"
2025-03-02,42,"26,41428571","87,51285714"
2025-03-09,24,"24,13428571","77,23142857"
2025-03-16,25,"18,75428571","75,80142857"
2025-03-23,16,"23,19142857","71,97714286"
2025-03-30,26,"21,23857143","79,10714286"
2025-04-06,27,"15,17857143","71,93"
2025-04-13,16,"17,92857143","80,20285714"
2025-04-20,21,"16,16428571","78,62142857"
2025-04-27,16,"17,65","72,47142857"
2025-05-04,24,"18,47428571","74,12428571"
2025-05-11,22,"17,71285714","77,15714286"
2025-05-18,27,"18,17285714","79,14714286"
2025-05-25,24,"13,17","80,84285714"
2025-06-01,32,"9,082857143","74,04714286"
2025-06-08,29,"10,64857143","84,00857143"
2025-06-15,19,"9,921428571","83,84285714"
2025-06-22,22,"8,237142857","79,30714286"
2025-06-29,36,"5,534285714","69,54571429"
2025-07-06,20,"7,88","79,26"
2025-07-13,22,"13,33285714","85,47857143"
2025-07-20,48,"11,46285714","76,54"
2025-07-27,24,"10,08","83,98"
2025-08-03,32,"12,59142857","77,95571429"
2025-08-10,24,"9,735714286","73,38285714"
2025-08-17,19,"10,82428571","80,17428571"
2025-08-24,14,"12,11142857","73,12714286"
2025-08-31,28,"15,15142857","80,80142857"
2025-09-07,22,"9,764285714","69,97428571"
2025-09-14,21,"15,09","74,42"
2025-09-21,23,"17,91428571","80,85142857"
2025-09-28,24,"15,92142857","69,25428571"
2025-10-05,22,"18,28142857","70,45714286"
2025-10-12,17,"18,29714286","60,77857143"
2025-10-19,19,"20,00428571","58,54428571"
2025-10-26,15,"20,46571429","62,15428571"
2025-11-02,18,"18,70428571","61,30428571"
2025-11-09,17,"18,91285714","61,93571429"
2025-11-16,19,"23,16428571","53,32142857"
2025-11-23,20,"21,55","52,67142857"
2025-11-30,28,"24,53428571","61,12142857"
2025-12-07,24,"26,00571429","47,66142857"
